Samples,Type
ATTX.CRPC.102,CRPC
ATTX.CRPC.107,CRPC
ATTX.CRPC.29,CRPC
ATTX.CRPC.35,CRPC
ATTX.CRPC.36,CRPC
ATTX.CRPC.43,CRPC
ATTX.CRPC.47,CRPC
ATTX.CRPC.78,CRPC
ATTX.CRPC.81,CRPC
ATTX.CRPC.89,CRPC
ATTX.ENZR.100,ENZR
ATTX.ENZS.101,ENZS
ATTX.ENZR.103,ENZR
ATTX.ENZR.104,ENZR
ATTX.ENZR.105,ENZR
ATTX.ENZS.106,ENZS
ATTX.ENZS.17,ENZS
ATTX.ENZR.21,ENZR
ATTX.ENZR.23,ENZR
ATTX.ENZS.28,ENZS
ATTX.ENZR.33,ENZR
ATTX.ENZS.45,ENZS
ATTX.ENZS.49,ENZS
ATTX.ENZS.56,ENZS
ATTX.ENZS.57,ENZS
ATTX.ENZS.6,ENZS
ATTX.ENZR.64,ENZR
ATTX.ENZR.65,ENZR
ATTX.ENZR.72,ENZR
ATTX.ENZR.75,ENZR
ATTX.ENZS.76,ENZS
ATTX.ENZS.79,ENZS
ATTX.ENZS.80,ENZS
ATTX.ENZR.87,ENZR
ATTX.ENZR.94,ENZR
ATTX.ENZR.95,ENZR
ATTX.ENZR.98,ENZR
ATTX.PRE-CX.111,PRE-CX
ATTX.PRE-CX.112,PRE-CX
ATTX.PRE-CX.4,PRE-CX
ATTX.PRE-CX.5,PRE-CX
ATTX.PRE-CX.53,PRE-CX
ATTX.PRE-CX.58,PRE-CX
ATTX.PRE-CX.62,PRE-CX
ATTX.PRE-CX.67,PRE-CX
ATTX.PRE-CX.9,PRE-CX
ATTX.POST-CX.18,POST-CX
ATTX.POST-CX.44,POST-CX
ATTX.POST-CX.48,POST-CX
ATTX.POST-CX.66,POST-CX
ATTX.POST-CX.86,POST-CX
ATTX.POST-CX.91,POST-CX
ATTX.POST-CX.92,POST-CX
ATTX.POST-CX.99,POST-CX
