,Samples,Clusters
ATTX.CRPC.102,CRPC,Cluster3
ATTX.CRPC.107,CRPC,Cluster3
ATTX.CRPC.29,CRPC,Cluster2
ATTX.CRPC.35,CRPC,Cluster2
ATTX.CRPC.36,CRPC,Cluster3
ATTX.CRPC.43,CRPC,Cluster3
ATTX.CRPC.47,CRPC,Cluster2
ATTX.CRPC.78,CRPC,Cluster3
ATTX.CRPC.81,CRPC,Cluster3
ATTX.CRPC.89,CRPC,Cluster1
ATTX.ENZR.100,ENZR,Cluster3
ATTX.ENZR.103,ENZR,Cluster1
ATTX.ENZR.104,ENZR,Cluster3
ATTX.ENZR.105,ENZR,Cluster1
ATTX.ENZR.21,ENZR,Cluster1
ATTX.ENZR.23,ENZR,Cluster1
ATTX.ENZR.33,ENZR,Cluster3
ATTX.ENZR.64,ENZR,Cluster1
ATTX.ENZR.65,ENZR,Cluster1
ATTX.ENZR.72,ENZR,Cluster1
ATTX.ENZR.75,ENZR,Cluster2
ATTX.ENZR.87,ENZR,Cluster3
ATTX.ENZR.94,ENZR,Cluster1
ATTX.ENZR.95,ENZR,Cluster1
ATTX.ENZR.98,ENZR,Cluster1
ATTX.ENZS.101,ENZS,Cluster1
ATTX.ENZS.106,ENZS,Cluster1
ATTX.ENZS.17,ENZS,Cluster1
ATTX.ENZS.28,ENZS,Cluster1
ATTX.ENZS.45,ENZS,Cluster1
ATTX.ENZS.49,ENZS,Cluster1
ATTX.ENZS.56,ENZS,Cluster1
ATTX.ENZS.57,ENZS,Cluster1
ATTX.ENZS.6,ENZS,Cluster1
ATTX.ENZS.76,ENZS,Cluster1
ATTX.ENZS.79,ENZS,Cluster1
ATTX.ENZS.80,ENZS,Cluster1
ATTX.POST-CX.18,POST-CX,Cluster3
ATTX.POST-CX.44,POST-CX,Cluster3
ATTX.POST-CX.48,POST-CX,Cluster3
ATTX.POST-CX.66,POST-CX,Cluster3
ATTX.POST-CX.86,POST-CX,Cluster3
ATTX.POST-CX.91,POST-CX,Cluster3
ATTX.POST-CX.92,POST-CX,Cluster3
ATTX.POST-CX.99,POST-CX,Cluster1
ATTX.PRE-CX.111,PRE-CX,Cluster2
ATTX.PRE-CX.112,PRE-CX,Cluster3
ATTX.PRE-CX.4,PRE-CX,Cluster3
ATTX.PRE-CX.5,PRE-CX,Cluster3
ATTX.PRE-CX.53,PRE-CX,Cluster3
ATTX.PRE-CX.58,PRE-CX,Cluster2
ATTX.PRE-CX.62,PRE-CX,Cluster2
ATTX.PRE-CX.67,PRE-CX,Cluster2
ATTX.PRE-CX.9,PRE-CX,Cluster2
